rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,3.02,0.29,92.49
2,Spain,UEFA,3.48,0.53,92.05
3,Germany,UEFA,2.99,0.58,87.92
4,Belgium,UEFA,2.98,0.58,87.82
5,France,UEFA,2.74,0.51,86.87
6,England,UEFA,2.58,0.48,85.79
7,Argentina,CONMEBOL,2.47,0.48,84.68
8,Netherlands,UEFA,2.67,0.63,84.05
9,Switzerland,UEFA,2.56,0.71,81.33
10,Colombia,CONMEBOL,2.23,0.52,81.03
11,Uruguay,CONMEBOL,2.3,0.57,80.94
12,Portugal,UEFA,2.31,0.57,80.93
13,Italy,UEFA,2.13,0.5,80.15
14,Croatia,UEFA,2.46,0.75,79.12
15,Chile,CONMEBOL,2.32,0.72,77.99
16,Sweden,UEFA,2.16,0.69,76.31
17,Serbia,UEFA,2.17,0.75,75.13
18,Mexico,CONCACAF,2.09,0.76,73.67
19,Denmark,UEFA,2.0,0.69,73.6
20,Russia,UEFA,2.0,0.76,72.29
21,Ukraine,UEFA,1.91,0.7,71.96
22,Morocco,CAF,1.8,0.63,71.72
23,Ghana,CAF,1.77,0.62,71.56
24,Ecuador,CONMEBOL,1.97,0.77,71.4
25,Peru,CONMEBOL,1.87,0.71,71.09
26,Poland,UEFA,1.98,0.81,70.81
27,Nigeria,CAF,1.88,0.75,70.38
28,USA,CONCACAF,1.93,0.78,70.37
29,Austria,UEFA,1.86,0.74,70.31
30,Iran,AFC,1.71,0.64,69.94
31,Norway,UEFA,1.89,0.79,69.53
32,Japan,AFC,1.97,0.86,69.26
33,Senegal,CAF,1.74,0.7,69.09
34,Paraguay,CONMEBOL,1.88,0.8,69.04
35,Venezuela,CONMEBOL,1.89,0.83,68.69
36,Wales,UEFA,1.82,0.77,68.63
37,Bosnia and Herzegovina,UEFA,1.86,0.83,68.02
38,Slovakia,UEFA,1.87,0.87,67.34
39,Czech Republic,UEFA,1.89,0.89,67.22
40,Ivory Coast,CAF,1.62,0.69,66.74
41,Turkey,UEFA,1.82,0.89,65.91
42,Algeria,CAF,1.92,0.99,65.44
43,South Korea,AFC,1.67,0.84,64.16
44,Costa Rica,CONCACAF,1.68,0.88,63.34
45,Egypt,CAF,1.78,0.98,63.17
46,Iceland,UEFA,1.8,1.0,62.98
47,Australia,AFC,1.75,0.96,62.78
